L0,L1,L2,Graph
-1.0,-0.7934557,-0.72310716,4
0.62630486,-0.66666496,0.708477,6
-0.95818067,0.12648052,0.2656308,5
0.77975714,-0.28207827,0.4781969,5
-0.7897415,0.04473351,-0.012947157,5
0.012926634,0.28019768,-0.024268344,7
-0.6601423,-0.39376795,0.9859713,7
0.43153164,1.0,0.7269627,7
0.20941581,-0.62926,-0.85514313,7
-0.41682184,-0.8051302,-0.056256592,7
0.7604201,0.072050154,-0.039115667,7
0.19553196,-0.16225988,-0.23593038,7
0.61253005,-0.45832527,-0.5531044,7
-0.017835975,-0.782915,0.17627673,7
0.44695032,-0.42266583,-0.7457435,12
0.48057735,-0.6606342,-1.0,12
0.44116777,-0.04541762,0.7217963,12
0.59791565,-0.64478385,-0.2543112,11
-0.49228477,-0.48802733,0.32119763,12
0.2793569,0.40919977,-0.076521575,16
0.66839164,-0.012313008,-0.39113647,16
0.3252703,-0.66125226,0.14207606,15
1.0,0.9177811,-0.31435812,15
0.84501094,-0.97912127,-0.20795506,17
0.84119916,-0.2789808,1.0,18
-0.6670099,-0.07657044,-0.5969842,15
-1.0,-0.3479523,0.22422732,22
0.40655786,0.11102267,-1.0,22
-0.17615451,0.3377537,0.4376226,19
0.38444465,-0.7441642,-0.9080902,25
-0.83929104,0.2179211,0.48405865,25
0.7000987,-0.53676236,0.5601585,25
-0.3161078,-0.9279407,0.84480095,25
-0.03873656,0.3716321,-0.5119864,25
-0.7412336,-0.76356554,0.9287859,25
-0.04887706,-0.18884714,-0.708208,24
-0.041798227,-0.31092554,1.0,28
0.30659312,0.10865642,0.5335591,28
0.27909258,-0.6912954,-1.0,28
-1.0,-0.031924218,0.64016664,28
0.82932377,0.36533105,-0.49492636,28
0.43830153,-1.0,-0.8379818,28
0.30022386,-0.16595528,0.1390297,28
-0.021005258,1.0,-1.0,28
0.92594695,-0.025267636,0.47907433,28
0.37016302,0.39370033,-0.23423675,28
-0.96983016,-0.31324252,0.3384602,28
0.73876035,-0.115172446,1.0,33
0.38803476,0.42660543,0.29151726,33
-0.08319233,-0.84934163,0.69921815,33
-0.301116,-0.11994459,-0.7651479,34
-0.74871165,0.5486339,1.0,34
0.7104025,0.10729442,0.7505746,34
-0.95750767,0.174371,-0.71013105,48
0.4609652,-0.72989297,-0.73390925,50
0.2085444,-0.5999525,0.7160877,57
0.46093887,-0.88044363,-0.68975616,71
0.9330526,0.06758961,-0.7338795,71
-0.90699905,-0.26357633,0.94845176,73
-0.06876652,-0.17045355,-0.39393023,73
0.6601904,-1.0,0.115149885,73
-0.1305118,-0.9258171,-0.96504104,73
0.8215792,-0.9365549,0.5534297,75
-0.3706761,-0.22548686,-0.20110846,75
-0.9280799,1.0,-0.5070254,75
-0.2225692,-0.2725289,-1.0,
0.91048634,-0.7534251,0.01754307,
0.79574656,-0.5357474,-0.46066335,
0.46098003,-0.8630378,,
0.88286537,0.31136,,
-0.02995389,-0.7027794,,
0.19862604,-0.11892862,,
0.87817866,-0.29906276,,
-0.19464472,-0.33234796,,
0.39785677,0.92884123,,
0.051070455,0.18723191,,
-1.0,-0.28509784,,
-0.8111251,-0.06102825,,
-1.0,0.36223742,,
0.9005928,-0.85695755,,
-0.457264,0.6016822,,
0.79981047,-0.34874082,,
